id,date,week,home,away,homePts,awayPts
1,"Sep 5, 2019",1,chi,gnb,3,10
2,"Sep 8, 2019",1,cle,oti,13,43
3,"Sep 8, 2019",1,car,ram,27,30
4,"Sep 8, 2019",1,phi,was,32,27
5,"Sep 8, 2019",1,nyj,buf,16,17
6,"Sep 8, 2019",1,min,atl,28,12
7,"Sep 8, 2019",1,mia,rav,10,59
8,"Sep 8, 2019",1,jax,kan,26,40
9,"Sep 8, 2019",1,sea,cin,21,20
10,"Sep 8, 2019",1,sdg,clt,30,24
11,"Sep 8, 2019",1,tam,sfo,17,31
12,"Sep 8, 2019",1,dal,nyg,35,17
13,"Sep 8, 2019",1,crd,det,27,27
14,"Sep 8, 2019",1,nwe,pit,33,3
15,"Sep 9, 2019",1,nor,htx,30,28
16,"Sep 9, 2019",1,rai,den,24,16
17,"Sep 12, 2019",2,car,tam,14,20
18,"Sep 15, 2019",2,cin,sfo,17,41
19,"Sep 15, 2019",2,was,dal,21,31
20,"Sep 15, 2019",2,rav,crd,23,17
21,"Sep 15, 2019",2,pit,sea,26,28
22,"Sep 15, 2019",2,oti,clt,17,19
23,"Sep 15, 2019",2,nyg,buf,14,28
24,"Sep 15, 2019",2,mia,nwe,0,43
25,"Sep 15, 2019",2,htx,jax,13,12
26,"Sep 15, 2019",2,gnb,min,21,16
27,"Sep 15, 2019",2,det,sdg,13,10
28,"Sep 15, 2019",2,rai,kan,10,28
29,"Sep 15, 2019",2,ram,nor,27,9
30,"Sep 15, 2019",2,den,chi,14,16
31,"Sep 15, 2019",2,atl,phi,24,20
32,"Sep 16, 2019",2,nyj,cle,3,23
33,"Sep 19, 2019",3,jax,oti,20,7
34,"Sep 22, 2019",3,buf,cin,21,17
35,"Sep 22, 2019",3,phi,det,24,27
36,"Sep 22, 2019",3,nwe,nyj,30,14
37,"Sep 22, 2019",3,min,rai,34,14
38,"Sep 22, 2019",3,kan,rav,33,28
39,"Sep 22, 2019",3,gnb,den,27,16
40,"Sep 22, 2019",3,dal,mia,31,6
41,"Sep 22, 2019",3,clt,atl,27,24
42,"Sep 22, 2019",3,tam,nyg,31,32
43,"Sep 22, 2019",3,crd,car,20,38
44,"Sep 22, 2019",3,sfo,pit,24,20
45,"Sep 22, 2019",3,sea,nor,27,33
46,"Sep 22, 2019",3,sdg,htx,20,27
47,"Sep 22, 2019",3,cle,ram,13,20
48,"Sep 23, 2019",3,was,chi,15,31
49,"Sep 26, 2019",4,gnb,phi,27,34
50,"Sep 29, 2019",4,buf,nwe,10,16
51,"Sep 29, 2019",4,atl,oti,10,24
52,"Sep 29, 2019",4,rav,cle,25,40
53,"Sep 29, 2019",4,nyg,was,24,3
54,"Sep 29, 2019",4,mia,sdg,10,30
55,"Sep 29, 2019",4,htx,car,10,16
56,"Sep 29, 2019",4,det,kan,30,34
57,"Sep 29, 2019",4,clt,rai,24,31
58,"Sep 29, 2019",4,ram,tam,40,55
59,"Sep 29, 2019",4,crd,sea,10,27
60,"Sep 29, 2019",4,den,jax,24,26
61,"Sep 29, 2019",4,chi,min,16,6
62,"Sep 29, 2019",4,nor,dal,12,10
63,"Sep 30, 2019",4,pit,cin,27,3
64,"Oct 3, 2019",5,sea,ram,30,29
65,"Oct 6, 2019",5,cin,crd,23,26
66,"Oct 6, 2019",5,car,jax,34,27
67,"Oct 6, 2019",5,was,nwe,7,33
68,"Oct 6, 2019",5,rai,chi,24,21
69,"Oct 6, 2019",5,pit,rav,23,26
70,"Oct 6, 2019",5,phi,nyj,31,6
71,"Oct 6, 2019",5,oti,buf,7,14
72,"Oct 6, 2019",5,nyg,min,10,28
73,"Oct 6, 2019",5,nor,tam,31,24
74,"Oct 6, 2019",5,htx,atl,53,32
75,"Oct 6, 2019",5,sdg,den,13,20
76,"Oct 6, 2019",5,dal,gnb,24,34
77,"Oct 6, 2019",5,kan,clt,13,19
78,"Oct 7, 2019",5,sfo,cle,31,3
79,"Oct 10, 2019",6,nwe,nyg,35,14
80,"Oct 13, 2019",6,tam,car,26,37
81,"Oct 13, 2019",6,cle,sea,28,32
82,"Oct 13, 2019",6,rav,cin,23,17
83,"Oct 13, 2019",6,min,phi,38,20
84,"Oct 13, 2019",6,mia,was,16,17
85,"Oct 13, 2019",6,kan,htx,24,31
86,"Oct 13, 2019",6,jax,nor,6,13
87,"Oct 13, 2019",6,crd,atl,34,33
88,"Oct 13, 2019",6,ram,sfo,7,20
89,"Oct 13, 2019",6,nyj,dal,24,22
90,"Oct 13, 2019",6,den,oti,16,0
91,"Oct 13, 2019",6,sdg,pit,17,24
92,"Oct 14, 2019",6,gnb,det,23,22
93,"Oct 17, 2019",7,den,kan,6,30
94,"Oct 20, 2019",7,buf,mia,31,21
95,"Oct 20, 2019",7,atl,ram,10,37
96,"Oct 20, 2019",7,was,sfo,0,9
97,"Oct 20, 2019",7,nyg,crd,21,27
98,"Oct 20, 2019",7,gnb,rai,42,24
99,"Oct 20, 2019",7,det,min,30,42
100,"Oct 20, 2019",7,clt,htx,30,23
101,"Oct 20, 2019",7,cin,jax,17,27
102,"Oct 20, 2019",7,oti,sdg,23,20
103,"Oct 20, 2019",7,sea,rav,16,30
104,"Oct 20, 2019",7,chi,nor,25,36
105,"Oct 20, 2019",7,dal,phi,37,10
106,"Oct 21, 2019",7,nyj,nwe,0,33
107,"Oct 24, 2019",8,min,was,19,9
108,"Oct 27, 2019",8,buf,phi,13,31
109,"Oct 27, 2019",8,atl,sea,20,27
110,"Oct 27, 2019",8,ram,cin,24,10
111,"Oct 27, 2019",8,oti,tam,27,23
112,"Oct 27, 2019",8,nor,crd,31,9
113,"Oct 27, 2019",8,jax,nyj,29,15
114,"Oct 27, 2019",8,det,nyg,31,26
115,"Oct 27, 2019",8,clt,den,15,13
116,"Oct 27, 2019",8,chi,sdg,16,17
117,"Oct 27, 2019",8,sfo,car,51,13
118,"Oct 27, 2019",8,nwe,cle,27,13
119,"Oct 27, 2019",8,htx,rai,27,24
120,"Oct 27, 2019",8,kan,gnb,24,31
121,"Oct 28, 2019",8,pit,mia,27,14
122,"Oct 31, 2019",9,crd,sfo,25,28
123,"Nov 3, 2019",9,jax,htx,3,26
124,"Nov 3, 2019",9,car,oti,30,20
