id,date,week,home,away,homePts,awayPts,homeWinProb
1,"Sep 4, 2003",1,was,nyj,16,13,0.5071133785325671
2,"Sep 7, 2003",1,kan,sdg,27,14,0.8636005943450027
3,"Sep 7, 2003",1,car,jax,24,23,0.7380931085919075
4,"Sep 7, 2003",1,buf,nwe,31,0,0.3375930047347871
5,"Sep 7, 2003",1,pit,rav,34,15,0.46152698699620726
6,"Sep 7, 2003",1,gnb,min,25,30,0.6656587824428426
7,"Sep 7, 2003",1,nyg,ram,23,13,0.35016905424680367
8,"Sep 7, 2003",1,mia,htx,20,21,0.7559083513981308
9,"Sep 7, 2003",1,det,crd,42,24,0.6645762189291106
10,"Sep 7, 2003",1,cle,clt,6,9,0.25757124743617205
11,"Sep 7, 2003",1,cin,den,10,30,0.45003862325098243
12,"Sep 7, 2003",1,sea,nor,27,10,0.6159890828297718
13,"Sep 7, 2003",1,sfo,chi,49,7,0.6718565815887922
14,"Sep 7, 2003",1,dal,atl,13,27,0.7246173273496519
15,"Sep 7, 2003",1,oti,rai,25,20,0.8874901413507464
16,"Sep 8, 2003",1,phi,tam,0,17,0.7031425012456801
17,"Sep 14, 2003",2,clt,oti,33,7,0.6065910519240318
18,"Sep 14, 2003",2,kan,pit,41,20,0.7897030553902398
19,"Sep 14, 2003",2,rav,cle,33,13,0.7490982417393806
20,"Sep 14, 2003",2,ram,sfo,27,24,0.681462677459283
21,"Sep 14, 2003",2,nyj,mia,10,21,0.47334328365813494
22,"Sep 14, 2003",2,nor,htx,31,10,0.6827874512705925
23,"Sep 14, 2003",2,gnb,det,31,6,0.8037717755949984
24,"Sep 14, 2003",2,atl,was,31,33,0.5751338959885537
25,"Sep 14, 2003",2,jax,buf,17,38,0.5505494797788093
26,"Sep 14, 2003",2,tam,car,9,12,0.5029640375216733
27,"Sep 14, 2003",2,crd,sea,0,38,0.3227921450017767
28,"Sep 14, 2003",2,sdg,den,13,37,0.33137128623279777
29,"Sep 14, 2003",2,rai,cin,23,20,0.4837021796191193
30,"Sep 14, 2003",2,phi,nwe,10,31,0.4848868862266311
31,"Sep 14, 2003",2,min,chi,24,13,0.6938218850063547
32,"Sep 15, 2003",2,nyg,dal,32,35,0.40430804037053775
33,"Sep 21, 2003",3,clt,jax,23,13,0.8229061900498931
34,"Sep 21, 2003",3,cin,pit,10,17,0.5988550128495369
35,"Sep 21, 2003",3,nwe,nyj,23,16,0.8118921043510959
36,"Sep 21, 2003",3,htx,kan,14,42,0.3693413080843254
37,"Sep 21, 2003",3,atl,tam,10,31,0.45769348288501543
38,"Sep 21, 2003",3,oti,nor,27,12,0.7600846403402521
39,"Sep 21, 2003",3,det,min,13,23,0.4222475751060585
40,"Sep 21, 2003",3,was,nyg,21,24,0.6481780471494965
41,"Sep 21, 2003",3,sea,ram,24,23,0.5484906418586492
42,"Sep 21, 2003",3,crd,gnb,20,13,0.27861699409074553
43,"Sep 21, 2003",3,sfo,cle,12,13,0.7021133109552763
44,"Sep 21, 2003",3,sdg,rav,10,24,0.34906869423488407
45,"Sep 21, 2003",3,mia,buf,17,7,0.7003083244561208
46,"Sep 22, 2003",3,den,rai,31,10,0.805003196466034
47,"Sep 28, 2003",4,pit,oti,13,30,0.3090516789365786
48,"Sep 28, 2003",4,buf,phi,13,23,0.4403499074421343
49,"Sep 28, 2003",4,ram,crd,37,13,0.848789984510637
50,"Sep 28, 2003",4,cle,cin,14,21,0.5393579982750218
51,"Sep 28, 2003",4,was,nwe,20,17,0.26239092948349774
52,"Sep 28, 2003",4,min,sfo,35,7,0.6151374373852054
53,"Sep 28, 2003",4,htx,jax,24,20,0.5663821288737036
54,"Sep 28, 2003",4,rav,kan,10,17,0.49377571647897034
55,"Sep 28, 2003",4,rai,sdg,34,31,0.6063052606006142
56,"Sep 28, 2003",4,car,atl,23,3,0.7858248155813544
57,"Sep 28, 2003",4,nyj,dal,6,17,0.5479021603338342
58,"Sep 28, 2003",4,den,det,20,16,0.7840878821596674
59,"Sep 28, 2003",4,nor,clt,21,55,0.38827466430776664
60,"Sep 29, 2003",4,chi,gnb,23,38,0.40459590444363935
61,"Oct 5, 2003",5,kan,den,24,23,0.6661995486922148
62,"Oct 5, 2003",5,car,nor,19,13,0.6761404861924141
63,"Oct 5, 2003",5,buf,cin,22,16,0.6514810109504183
64,"Oct 5, 2003",5,nwe,oti,38,30,0.6289752635707547
65,"Oct 5, 2003",5,gnb,sea,35,13,0.639872039914
66,"Oct 5, 2003",5,dal,crd,24,7,0.8128923582191361
67,"Oct 5, 2003",5,chi,rai,24,21,0.6758734170684053
68,"Oct 5, 2003",5,nyg,mia,10,23,0.3338004513077851
69,"Oct 5, 2003",5,atl,min,26,39,0.46093697537462847
70,"Oct 5, 2003",5,jax,sdg,27,21,0.7243691907146312
71,"Oct 5, 2003",5,sfo,det,24,17,0.7246173273496519
72,"Oct 5, 2003",5,phi,was,27,25,0.7964949665206564
73,"Oct 5, 2003",5,pit,cle,13,33,0.6345769116131407
74,"Oct 6, 2003",5,tam,clt,35,38,0.3891290502808277
75,"Oct 12, 2003",6,clt,car,20,23,0.6984984000976023
76,"Oct 12, 2003",6,jax,mia,10,24,0.4336178711262963
77,"Oct 12, 2003",6,nwe,nyg,17,6,0.8938865091949965
78,"Oct 12, 2003",6,gnb,kan,34,40,0.5405376747038733
79,"Oct 12, 2003",6,cle,rai,13,7,0.6445871804970178
80,"Oct 12, 2003",6,was,tam,13,35,0.4742305826927849
81,"Oct 12, 2003",6,oti,htx,38,17,0.829201781667998
82,"Oct 12, 2003",6,nor,chi,20,13,0.6959042988140614
83,"Oct 12, 2003",6,dal,phi,23,21,0.4828137435050982
84,"Oct 12, 2003",6,nyj,buf,30,3,0.5899250358521743
85,"Oct 12, 2003",6,den,pit,17,14,0.7280796537572698
86,"Oct 12, 2003",6,crd,rav,18,26,0.31933330321867726
87,"Oct 12, 2003",6,sea,sfo,20,19,0.6415386818140651
88,"Oct 13, 2003",6,ram,atl,36,0,0.7701272611721153
89,"Oct 19, 2003",7,min,den,28,20,0.5411273797602902
90,"Oct 19, 2003",7,car,oti,17,37,0.49259026409814327
91,"Oct 19, 2003",7,ram,gnb,34,24,0.5844283634536545
92,"Oct 19, 2003",7,cle,sdg,20,26,0.6588704972786673
93,"Oct 19, 2003",7,cin,rav,34,26,0.4692043741867904
94,"Oct 19, 2003",7,atl,nor,17,45,0.45857780156478645
95,"Oct 19, 2003",7,nyg,phi,10,14,0.30279740649935133
96,"Oct 19, 2003",7,mia,nwe,13,19,0.4503327159983148
97,"Oct 19, 2003",7,det,dal,7,38,0.40805425909517984
98,"Oct 19, 2003",7,htx,nyj,14,19,0.5266567163418651
99,"Oct 19, 2003",7,buf,was,24,7,0.6729297071117305
100,"Oct 19, 2003",7,sfo,tam,24,7,0.5640426318063716
101,"Oct 19, 2003",7,sea,chi,24,17,0.7178793320301565
102,"Oct 20, 2003",7,rai,kan,10,17,0.2756308092853688
103,"Oct 26, 2003",8,min,nyg,17,29,0.7479140030929334
104,"Oct 26, 2003",8,tam,dal,16,0,0.5803675216018999
105,"Oct 26, 2003",8,jax,oti,17,30,0.3354237810708896
106,"Oct 26, 2003",8,cin,sea,27,24,0.4730475464827659
107,"Oct 26, 2003",8,rav,den,26,6,0.5725120476156622
108,"Oct 26, 2003",8,pit,ram,21,33,0.42224757510605837
109,"Oct 26, 2003",8,nwe,cle,9,3,0.8793374379837922
110,"Oct 26, 2003",8,chi,det,24,16,0.6490048488785131
111,"Oct 26, 2003",8,nor,car,20,23,0.502074836000579
112,"Oct 26, 2003",8,crd,sfo,16,13,0.37130554894532963
113,"Oct 26, 2003",8,phi,nyj,24,17,0.7310300262736047
114,"Oct 26, 2003",8,clt,htx,30,21,0.8390091243143726
115,"Oct 26, 2003",8,kan,buf,38,5,0.7349386975915342
